x,y,w,h,Distance Bottom,Distance Top,area,Target Class
10,5,20,4,53.0,58.0,35.0,LD
369,4,84,5,53.0,57.0,163.0,LD
258,3,9,4,55.0,58.0,19.5,LD
192,0,10,8,54.0,54.0,47.0,LD
224,105,10,15,60.0,45.0,89.0,LD
183,105,9,11,56.0,49.0,49.0,LD
69,105,4,6,51.0,54.0,11.0,LD
16,105,15,11,56.0,49.0,36.5,LD
133,104,32,9,53.0,51.0,124.0,LD
102,104,10,17,61.0,43.0,83.5,LD
13,95,7,5,40.0,55.0,17.0,LD
76,82,3,18,40.0,42.0,16.0,LD
12,82,7,11,33.0,49.0,39.5,LD
178,67,11,34,41.0,26.0,140.0,LD
220,53,40,48,41.0,12.0,463.0,LD
76,48,34,52,40.0,8.0,317.0,LD
128,47,29,54,41.0,6.0,691.5,LD
184,35,10,16,9.0,44.0,69.0,LD
69,34,4,66,40.0,6.0,140.0,LD
6,15,43,66,21.0,6.0,390.5,LD
73,0,6,11,49.0,49.0,11.5,LD
0,5,38,58,32.0,27.0,510.0,LD
60,0,43,59,28.0,28.0,386.5,LD
115,81,6,7,44.0,37.0,19.0,LD
136,59,29,9,24.0,35.0,80.5,LD
106,41,16,37,34.0,7.0,119.0,LD
137,21,33,36,13.0,8.0,215.5,LD
19,17,4,8,19.0,36.0,10.5,LD
59,6,12,13,25.0,31.0,26.5,LD
0,3,41,75,34.0,31.0,390.5,LD
74,0,27,73,29.0,29.0,357.5,LD
222,105,11,7,53.0,52.0,14.0,LD
360,97,10,3,41.0,56.0,11.5,LD
183,94,35,6,41.0,53.0,59.0,LD
85,88,60,20,49.0,39.0,136.5,LD
0,88,81,10,39.0,49.0,159.0,LD
210,75,7,10,26.0,49.0,25.0,LD
70,75,7,11,27.0,48.0,19.5,LD
359,74,15,20,35.0,39.0,57.0,LD
210,61,34,12,14.0,47.0,124.0,LD
140,48,15,24,13.0,35.0,119.5,LD
73,47,45,22,10.0,37.0,181.5,LD
354,46,40,27,14.0,32.0,128.0,LD
149,40,40,71,52.0,12.0,231.0,LD
220,34,121,84,59.0,25.0,577.0,LD
281,24,11,50,15.0,9.0,173.5,LD
108,24,7,8,27.0,51.0,14.0,LD
281,19,8,4,36.0,55.0,14.0,LD
106,13,7,9,37.0,50.0,20.5,LD
104,4,9,7,48.0,52.0,26.5,LD
12,80,30,10,45.0,35.0,99.5,LD
231,73,11,3,31.0,42.0,12.0,LD
261,72,12,3,30.0,42.0,12.0,LD
199,57,5,9,21.0,36.0,14.0,LD
156,55,17,13,23.0,32.0,90.0,LD
171,44,5,9,8.0,36.0,18.5,LD
13,18,34,58,31.0,13.0,328.0,LD
241,7,40,61,23.0,16.0,334.0,LD
68,7,73,72,34.0,27.0,984.5,LD
214,2,13,72,29.0,27.0,424.0,LD
155,1,42,64,20.0,19.0,538.5,LD
278,0,49,70,25.0,25.0,375.0,LD
0,0,41,101,51.0,51.0,1926.5,LD
350,107,12,13,60.0,47.0,35.0,LD
247,106,27,7,53.0,53.0,50.5,LD
7,106,19,5,51.0,55.0,60.0,LD
293,55,15,39,34.0,21.0,161.5,LD
396,52,24,50,42.0,10.0,176.0,LD
0,51,4,24,15.0,36.0,42.5,LD
174,43,21,59,42.0,1.0,191.0,LD
421,40,8,62,42.0,2.0,160.5,LD
194,38,20,75,53.0,15.0,331.0,LD
107,38,54,64,42.0,4.0,1526.0,LD
57,37,42,65,42.0,5.0,428.0,LD
7,35,31,67,42.0,7.0,222.5,LD
342,11,36,92,43.0,32.0,449.0,LD
447,10,19,91,41.0,31.0,352.5,LD
296,8,11,9,43.0,51.0,55.0,LD
0,7,6,24,29.0,36.0,24.0,LD
235,0,31,103,43.0,43.0,467.0,LD
33,99,9,4,52.0,47.0,14.5,LD
2,99,8,4,52.0,47.0,19.5,LD
216,94,25,4,47.0,47.0,40.0,LD
165,94,49,5,48.0,46.0,88.5,LD
0,53,10,43,45.0,8.0,275.5,LD
29,45,54,51,45.0,0.0,890.5,LD
227,30,31,65,44.0,14.0,565.0,LD
0,20,3,12,19.0,39.0,14.0,LD
176,11,42,75,35.0,24.0,727.0,LD
127,0,33,96,45.0,45.0,665.5,LD
0,71,5,21,36.0,35.0,25.5,LD
76,54,48,58,56.0,2.0,337.0,LD
9,26,55,87,57.0,31.0,482.5,LD
0,0,7,69,13.0,13.0,134.5,LD
520,103,13,5,45.0,58.0,19.0,LD
139,99,13,21,57.0,42.0,94.0,LD
84,99,25,18,54.0,45.0,174.0,LD
17,99,43,27,63.0,36.0,294.0,LD
295,97,7,9,43.0,54.0,33.0,LD
229,97,31,18,52.0,45.0,173.0,LD
151,95,24,4,36.0,59.0,31.0,LD
432,93,15,6,36.0,57.0,27.5,LD
312,93,39,4,34.0,59.0,51.5,LD
16,50,45,46,33.0,17.0,483.0,LD
103,45,10,50,32.0,13.0,208.0,LD
463,41,38,54,32.0,9.0,574.0,LD
80,41,10,54,32.0,9.0,240.5,LD
226,34,39,60,31.0,3.0,573.5,LD
352,17,56,81,35.0,18.0,656.5,LD
405,15,57,94,46.0,31.0,1118.5,LD
134,13,43,82,32.0,19.0,537.0,LD
392,10,4,11,42.0,52.0,18.5,LD
293,9,46,85,31.0,22.0,584.5,LD
301,2,11,3,58.0,60.0,16.0,LD
258,2,38,3,58.0,60.0,69.0,LD
419,1,13,3,59.0,60.0,19.5,LD
390,1,26,3,59.0,60.0,41.0,LD
351,1,36,4,58.0,59.0,47.0,LD
313,1,37,4,58.0,59.0,39.0,LD
434,0,46,4,59.0,59.0,88.0,LD
89,51,55,50,51.0,0.0,1061.5,LD
179,38,67,59,47.0,9.0,849.5,LD
41,28,51,65,43.0,15.0,760.0,LD
139,9,39,87,46.0,37.0,539.0,LD
135,1,15,4,45.0,46.0,31.0,LD
