x,y,w,h,distance,class
0,0,12,80,1,LD
0,0,32,79,0,LD
0,0,30,34,1,LD
0,0,19,45,1,LD
0,0,64,98,1,LD
0,0,35,89,1,LD
0,0,53,78,1,LD
0,0,42,86,0,LD
0,0,41,29,1,LD
0,0,22,24,1,LD
0,0,34,32,1,LD
0,0,33,28,1,LD
0,0,26,10,1,LD
0,0,63,55,1,LD
0,0,62,57,1,LD
0,0,59,72,1,LD
0,0,28,22,1,LD
0,0,29,13,0,LD
0,0,25,11,1,LD
0,0,38,12,1,LD
0,0,54,94,1,LD
0,0,43,29,0,LD
0,0,12,22,1,LD
0,0,14,35,1,LD
0,0,43,47,1,LD
0,0,34,51,1,LD
0,0,9,87,1,LD
0,0,46,60,1,LD
0,0,44,69,1,LD
0,0,46,61,1,LD
0,0,11,55,0,LD
0,0,47,63,1,LD
0,0,11,38,1,LD
0,0,40,47,1,LD
0,0,18,19,1,LD
