curvature,strokewidth,density,x,y,w,h,distance,curvature_LogValue,strokewidth_LogValue,distance_LogValue,density_LogValue,class
0.10740831,16.2199048,15.29296875,14,0,29,28,1,-2.231117726,2.786239179,0,2.727393164,1
0.002370625,44.09256573,26.82421875,78,0,29,59,4,-6.044601646,3.786291191,1.386294361,3.289305164,1
0.099169367,23.86588085,27.734375,115,0,25,42,8,-2.310926113,3.172449859,2.079441542,3.322672619,1
0.002703901,50.19978379,37.171875,0,0,47,78,0,-5.913059734,3.91601072,#NAME?,3.615552427,1
0.017291595,31.86069656,30.99609375,0,0,22,62,7,-4.057534734,3.461373167,1.945910149,3.433861188,1
0.011398802,38.21798216,18.83984375,31,0,33,52,1,-4.474247017,3.643306142,0,2.935973976,1
0.372108388,28.07920049,17.53125,0,0,31,66,0,-0.988570102,3.335029106,#NAME?,2.863985003,1
0.002309677,36.80709341,11.4375,0,0,46,61,0,-6.070647591,3.605690582,#NAME?,2.436897431,1
0.018462468,30.71049505,18.3515625,0,0,48,47,7,-3.992015364,3.424604454,1.945910149,2.909714721,1
0.334644076,29.86907429,63.53125,43,0,60,55,21,-1.094687772,3.39682364,3.044522438,4.151531911,1
0.072371909,31.34166431,32.07421875,82,0,35,45,24,-2.625937052,3.44494834,3.17805383,3.468052553,1
0.07184581,38.61375057,24.3359375,35,0,30,70,0,-2.633232984,3.653608445,#NAME?,3.191954167,1
0.495285282,32.78661575,24.375,22,0,33,60,0,-0.702621355,3.490020376,#NAME?,3.193558017,1
0.001410724,34.59899561,21.19921875,47,0,32,67,0,-6.563652231,3.543824653,#NAME?,3.05396433,1
0.014591359,51.76151988,24.99609375,0,0,40,71,10,-4.227325775,3.946647014,2.302585093,3.218719563,1
0.015524802,30.57012491,16.50390625,36,0,27,65,0,-4.165316405,3.420023222,#NAME?,2.803597095,1
0.003985688,57.09926334,16.25390625,0,0,55,73,0,-5.525045334,4.044791215,#NAME?,2.788333265,1
0.055926441,57.45716932,55.06640625,63,0,34,66,61,-2.883718005,4.051039789,4.110873864,4.008539843,1
0.328341334,31.57931838,16.03125,0,0,40,54,0,-1.113701559,3.452502425,#NAME?,2.774539942,1
0.003956239,31.48248749,25.390625,89,0,34,52,0,-5.532461452,3.449431439,#NAME?,3.234380011,1
0.000834767,57.50450979,20.9375,35,0,40,55,12,-7.088357914,4.051863376,2.48490665,3.04154181,1
0.004449298,32.08708943,20.5,41,0,39,64,0,-5.415008948,3.468453751,#NAME?,3.020424886,1
0.001589766,46.55650483,33.76953125,0,0,42,95,0,-6.444168443,3.840666733,#NAME?,3.519558954,1
0.009520221,47.42267305,15.28515625,0,0,41,91,0,-4.654337216,3.859100449,#NAME?,2.726882178,1
0.278192065,31.38007101,59.4609375,0,0,30,86,0,-1.279443523,3.44617301,#NAME?,4.085319584,1
0.003065713,57.29146496,51.57421875,95,0,39,81,0,-5.78747511,4.048151659,#NAME?,3.943021911,1
0.003846239,42.09439058,20.7421875,8,0,22,44,15,-5.560659491,3.739914491,2.708050201,3.03216967,1
0.2252525,21.70397266,27.75390625,40,0,5,49,0,-1.490533284,3.077495316,#NAME?,3.323376596,1
0.176104273,29.63182623,92.1875,138,0,30,57,2,-1.736678999,3.388848994,0.693147181,4.523824547,1
0.188116921,26.41551507,62.78125,241,0,7,4,52,-1.670691589,3.27395153,3.951243719,4.139656462,1
0.08790691,23.10272861,29.7421875,93,0,5,7,40,-2.431476865,3.139950732,3.688879454,3.392566492,1
0.254943907,28.44410149,41.63671875,0,0,5,50,1,-1.366711731,3.34794081,0,3.72898244,1
0.136646244,24.23926124,58.3984375,91,0,25,54,11,-1.990359853,3.187973684,2.397895273,4.067289134,1
0.337366342,31.97497481,64.5703125,97,0,26,52,6,-1.086585871,3.46495356,1.791759469,4.167754746,1
0.13758123,26.17125798,18.421875,93,0,36,36,0,-1.983540773,3.264661785,#NAME?,2.913538817,1
0.033882908,21.86681245,37.109375,159,0,29,50,0,-3.384844581,3.084970074,#NAME?,3.613869633,1
